지역,카테고리,식당이름,구글맵 검색 링크 (작동함),평점,예산,영업시간 (검증됨),휴무일 (검증됨),결제수단,비고 (핵심 꿀팁),웨이팅 예상 시간 (추정),lat,lng
기온,빵집,풀풀 (Full Full),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EA%B8%B0%EC%98%A8%20%ED%92%80%ED%92%80%20%28Full%20Full%29,4.2,400엔~,10:00-19:00,화요일,카드OK,명란 바게트 맛집 (캐널시티 근처),빵 나오는 시간 맞춰가면 대기 없음,33.5945,130.4105
나가하마,라멘,간소 나가하마야,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EA%B0%80%ED%95%98%EB%A7%88%20%EA%B0%84%EC%86%8C%20%EB%82%98%EA%B0%80%ED%95%98%EB%A7%88%EC%95%BC,3.9,550엔,24시간 (청소시간 제외),연중무휴,현금만,[현금필수] 원조 나가하마 라멘,회전율 최강 (대기 거의 없음),33.5939,130.3879
나가하마,라멘,간소 나가하마야 (이치란/신신 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EA%B0%80%ED%95%98%EB%A7%88%20%EA%B0%84%EC%86%8C%20%EB%82%98%EA%B0%80%ED%95%98%EB%A7%88%EC%95%BC%20%28%EC%9D%B4%EC%B9%98%EB%9E%80/%EC%8B%A0%EC%8B%A0%20%EB%8C%80%EC%95%88%29,3.9,550엔,24시간,연중무휴,현금만,[현금필수] 진짜 로컬 돈코츠,대기 거의 없음 (회전율 최강),33.5944,130.3995
나카스,장어,요시즈카 우나기야,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EC%9A%94%EC%8B%9C%EC%A6%88%EC%B9%B4%20%EC%9A%B0%EB%82%98%EA%B8%B0%EC%95%BC,4.4,"3,500엔~",10:30-21:00,"수요일, 2/4째 화요일",카드OK,"후쿠오카 1티어, 오픈런 필수",오픈 1시간 전 도착 권장 (대기 극악),33.5927,130.4083
나카스,장어,8히츠마부시 빈츠 나카스,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%208%ED%9E%88%EC%B8%A0%EB%A7%88%EB%B6%80%EC%8B%9C%20%EB%B9%88%EC%B8%A0%20%EB%82%98%EC%B9%B4%EC%8A%A4,4.2,"3,800엔 -",11:30~15:00/17:00~21:30,연중무휴,카드OK,"나고야식 장어덮밥, 바삭한 식감",예약 권장 (예약 시 대기 없음),33.5948,130.406
나카스,라멘,이치란 본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EC%9D%B4%EC%B9%98%EB%9E%80%20%EB%B3%B8%EC%A0%90,4.5,980엔~,24시간 영업,연중무휴,카드OK,"건물 전체가 라멘집, 해장 추천",식사 시간대 30분~1시간 대기,33.5932,130.4042
나카스,츠케멘,멘야 카네토라,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EB%A9%98%EC%95%BC%20%EC%B9%B4%EB%84%A4%ED%86%A0%EB%9D%BC,4.3,"1,100 ~",10:30-22:30,연중무휴 (부정기),현금 IC카드,"매운맛 조절 가능, 현금 준비 추천",평일 점심도 30분 이상 (회전 느림),,
나카스,교자,테츠나베 나카스,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%ED%85%8C%EC%B8%A0%EB%82%98%EB%B2%A0%20%EB%82%98%EC%B9%B4%EC%8A%A4,3.9,"1,500엔~",17:00-23:00,화요일,카드OK,"철판 교자, 자릿세 있을 수 있음","오픈 직후 만석, 2차 시간대 대기 김",,
나카스,야타이,야타이 뿅키치,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EC%95%BC%ED%83%80%EC%9D%B4%20%EB%BF%85%ED%82%A4%EC%B9%98,4.1,"2,000엔~",18:30-01:30,"일요일, 우천시",현금만,[현금필수] 명란 만두 추천,포장마차라 대기 김 (회전 느림),,
나카스,닭전골,하카타 미즈타키 토리덴,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EB%AF%B8%EC%A6%88%ED%83%80%ED%82%A4%20%ED%86%A0%EB%A6%AC%EB%8D%B4,4.1,"4,000엔~",11:30-23:00 (평일 BT 16-17),연중무휴,카드OK,"고급스러운 닭백숙, 부모님 추천",예약 필수 (워크인 힘듦),,
나카스,오뎅,나카스 오뎅,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EC%98%A4%EB%8E%85,4.0,"2,500 ~",18:00-02:00,일요일,현금만,[현금필수] 오토시(자릿세) 있음,저녁 8시 이후 대기 발생 (15-30분),,
나카스,이끼니쿠,류노스,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EB%A5%98%EB%85%B8%EC%8A%A4,4.1,"4,000엔~",17:00-07:00,연중무휴,카드OK,후식으로 '카스 우동 필수,심야 시간대 대기 있음,,
나카스,장어,8히츠마부시 빈츠 나카스 (요시즈카 우나기야 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%208%ED%9E%88%EC%B8%A0%EB%A7%88%EB%B6%80%EC%8B%9C%20%EB%B9%88%EC%B8%A0%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%28%EC%9A%94%EC%8B%9C%EC%A6%88%EC%B9%B4%20%EC%9A%B0%EB%82%98%EA%B8%B0%EC%95%BC%20%EB%8C%80%EC%95%88%29,4.2,"3,800엔 -",11:30~15:00/17:00~21:30,연중무휴,카드OK,"나고야식 장어덮밥, 바삭한 식감",10-20분 (비교적 여유),33.5948,130.406
롯폰마츠,카페,커피맨,https://www.google.com/maps/search/?api=1&query=히츠마부시+빈츠+나카스7,4.4,600엔~,08:00-18:00,월요일,현금/카드,로스터리 카페,대기 적음,,
롯폰마츠,베이커리,아맘 다코탄,https://www.google.com/maps/search/?api=1&query=히츠마부시+빈츠+나카스8,4.1,400엔~,10:00-18:00,수요일,카드OK,오픈런 필수 빵집,오픈 1시간 전 대기 (오후엔 빵 없음),,
모모치,햄버거,모스버거 후쿠오카타워,https://www.google.com/maps/search/?api=1&query=이치란+본점+후쿠오카1,3.9,800엔~,09:00-21:00,연중무휴,카드OK,타워 보고 간단히 먹기 좋음,대기 없음,,
야쿠인,라멘,멘야 카네토라 야쿠인,https://www.google.com/maps/search/?api=1&query=히츠마부시+빈츠+나카스5,4.3,"1,100 ~",10:30-22:00,연중무휴,현금/카드,본점보다 대기 적음,평일 대기 적음 (본점 대안),,
야쿠인,백숙,토리카와 스이쿄,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EC%95%BC%EC%BF%A0%EC%9D%B8%20%ED%86%A0%EB%A6%AC%EC%B9%B4%EC%99%80%20%EC%8A%A4%EC%9D%B4%EC%BF%84,4.2,"4,000엔~",17:00-23:00,일요일,카드OK,현지인 맛집,예약 필수,,
야쿠인,우동,우동 비요리,https://www.google.com/maps/search/?api=1&query=히츠마부시+빈츠+나카스6,4.3,800엔~,11:00-15:00/17:30-21:00,화요일,현금만,아보카도 우동 특이함,점심 15분 대기,,
야쿠인,라멘,멘야 카네토라 야쿠인 (본점 대안),https://www.google.com/maps/search/?api=1&query=이치란+본점+후쿠오카3,4.3,"1,100 ~",10:30-22:00,연중무휴,현금/카드,본점 줄 길 때 택시타고 이동 추천,평일 대기 적음,,
오호리공원,카페,스타벅스 오호리공원점,https://www.google.com/maps/search/?api=1&query=히츠마부시+빈츠+나카스9,4.2,500엔~,07:00-21:00,연중무휴,카드OK,공원 뷰 명소,창가석 자리 잡기 힘듦,,
오호리공원,파스타,라 브리오슈,https://www.google.com/maps/search/?api=1&query=이치란+본점+후쿠오카0,4.1,"1,500 ~",07:30-19:30,연중무휴,카드OK,테라스 브런치,주말 점심 대기 있음,,
텐진,브런치,빌즈 (Bills) 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EB%B9%8C%EC%A6%88%20%28Bills%29%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,4.2,"2,000엔~",08:30(주말08:00)-21:00,연중무휴,카드OK,"강변 뷰, 리코타 치즈 팬케이크",주말 브런치 타임 예약 필수,,
텐진,모츠나베,모츠나베 라쿠텐치 텐진,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EB%AA%A8%EC%B8%A0%EB%82%98%EB%B2%A0%20%EB%9D%BC%EC%BF%A0%ED%85%90%EC%B9%98%20%ED%85%90%EC%A7%84,4.7,"2,000엔~",11:00-22:00,연중무휴,카드OK,"부추 산더미, 런치 영업 함",저녁 피크타임 30분 대기,,
텐진,꼬치구이,야키토리 하치베이 텐진,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%95%BC%ED%82%A4%ED%86%A0%EB%A6%AC%20%ED%95%98%EC%B9%98%EB%B2%A0%EC%9D%B4%20%ED%85%90%EC%A7%84,4.2,"4,000-",17:00-24:00,화요일,카드OK,[오토시 有] 완두콩 튀김 필수,예약 필수 (워크인 거의 불가),,
텐진,스시,효탄스시 본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90,4.3,"3,000-",11:30-14:30/17:00~21:00,연중무휴,카드OK,"점심 특선 가성비 갑, 웨이팅 긺",오픈 30분 전 대기 권장 (1시간 이상),,
텐진,명란덮밥,간소 하카타 멘타이쥬,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EA%B0%84%EC%86%8C%20%ED%95%98%EC%B9%B4%ED%83%80%20%EB%A9%98%ED%83%80%EC%9D%B4%EC%A5%AC,3.9,"3,000엔~",07:00-22:30,연중무휴,카드OK,"아침 식사 가능, 웨이팅 긺",아침 7-8시에도 대기 있음 (30분~),,
텐진,일본가정식,우오츄 (Uochu),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%9A%B0%EC%98%A4%EC%B8%84%20%28Uochu%29,4.1,"1,800엔~",11:00~22:00,수요일,카드OK,깔끔한 생선구이 정식,점심시간 15-30분 대기,,
텐진,일본가정식,왓파 테이쇼쿠도코로,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%99%93%ED%8C%8C%20%ED%85%8C%EC%9D%B4%EC%87%BC%EC%BF%A0%EB%8F%84%EC%BD%94%EB%A1%9C,4.1,"1,500엔~",11:30-21:00,연중무휴,카드OK,실패 없는 일본 가정식,대기 거의 없음 (회전 빠름),,
텐진,디저트,키르웨봉 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%ED%82%A4%EB%A5%B4%EC%9B%A8%EB%B4%89%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,4.3,"1,000엔~",11:00~20:00,연중무휴,카드OK,프리미엄 과일 타르트,카페 이용 시 대기 30분~1시간,,
텐진,스테이크,스테이크 라운지 렌,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%20%EB%9D%BC%EC%9A%B4%EC%A7%80%20%EB%A0%8C,4.5,"3,000 ~",11:30-15:00/17:30~22:00,연중무휴,카드OK,가성비 좋은 철판 스테이크 런치,런치 예약 권장,,
텐진,베이커리,더 시티 베이커리,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EB%8D%94%20%EC%8B%9C%ED%8B%B0%20%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC,4.2,"1,200엔",08:30-22:00,연중무휴,카드OK,"프레첼 크루아상, 솔라리아 지하",좌석 많아 대기 적음,,
텐진,디저트,아임도넛?,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%95%84%EC%9E%84%EB%8F%84%EB%84%9B%3F,4.2,500 ~,11:00~20:00,부정기,카드OK,웨이팅 필수 핫플,기본 1시간 이상 (오픈런 추천),,
텐진,모츠나베,모츠나베 라쿠텐치 텐진 (오오야마 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EB%AA%A8%EC%B8%A0%EB%82%98%EB%B2%A0%20%EB%9D%BC%EC%BF%A0%ED%85%90%EC%B9%98%20%ED%85%90%EC%A7%84%20%28%EC%98%A4%EC%98%A4%EC%95%BC%EB%A7%88%20%EB%8C%80%EC%95%88%29,4.7,"2,000엔~",17:00-23:00,연중무휴,카드OK,[저녁] 부추 산더미,20-30분 (오오야마보다 빠름),,
텐진,스시,스시로 텐진점 (효탄스시 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%98%A4%EC%95%BC%ED%9B%84%EC%BD%94%29%20%EC%8A%A4%EC%8B%9C%EB%A1%9C%20%ED%85%90%EC%A7%84%EC%A0%90%20%28%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%20%EB%8C%80%EC%95%88%29,3.9,"1,500 ~",11:00~23:00,연중무휴,카드OK,웨이팅 싫다면 최고의 선택,앱 예약 시 즉시 입장,,
텐진,일본가정식,왓파 테이쇼쿠도코로 (우오츄 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%99%93%ED%8C%8C%20%ED%85%8C%EC%9D%B4%EC%87%BC%EC%BF%A0%EB%8F%84%EC%BD%94%EB%A1%9C%20%28%EC%9A%B0%EC%98%A4%EC%B8%84%20%EB%8C%80%EC%95%88%29,4.1,"1,500엔~",11:30-21:00,연중무휴,카드OK,"깔끔한 정식, 실패 없음",대기 거의 없음,,
텐진,베이커리,더 시티 베이커리 (인기 카페 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EB%8D%94%20%EC%8B%9C%ED%8B%B0%20%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%28%EC%9D%B8%EA%B8%B0%20%EC%B9%B4%ED%8E%98%20%EB%8C%80%EC%95%88%29,4.2,"1,000 ~",08:30-22:00,연중무휴,카드OK,좌석 많고 빵 맛있음,대기 적음,,
텐진(다이묘),튀김정식,튀김 히라오 다이묘점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%ED%8A%80%EA%B9%80%20%ED%9E%88%EB%9D%BC%EC%98%A4%20%EB%8B%A4%EC%9D%B4%EB%AC%98%EC%A0%90,4.3,"1,200엔~",10:30-21:00,연중무휴,현금(자판기),"[현금필수] 갓 튀긴 튀김, 오징어젓갈 무한리필",식사 시간대 30분 이상 대기 (회전 빠름),,
