지역,카테고리,식당이름,구글맵 검색 링크 (작동함),평점,예산,영업시간 (검증됨),휴무일 (검증됨),결제수단,비고 (핵심 꿀팁),웨이팅 예상 시간 (추정),lat,lng
텐진(다이묘),덮밥,레드락 (Red Rock),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%A0%88%EB%93%9C%EB%9D%BD%20%28Red%20Rock%29,4.0,"1,500엔~",11:30-21:30,연중무휴,현금/카드,"로스트비프 덮밥, 키오스크 주문",점심 피크 15-30분 대기,,
텐진(다이묘),스테이크,니쿠젠 다이묘점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%8B%88%EC%BF%A0%EC%A0%A0%20%EB%8B%A4%EC%9D%B4%EB%AC%98%EC%A0%90,4.4,"4,000엔~",17:00-23:00,화요일,카드OK,"점심 영업 중단됨, 저녁 야키니쿠 추천",예약 필수,,
텐진(다이묘),디저트,카페델솔,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EC%B9%B4%ED%8E%98%EB%8D%B8%EC%86%94,4.3,"1,500엔~",11:00-19:00,연중무휴,카드OK,수플레 팬케이크 원조,오후 2-4시 대기 30분 이상,,
텐진(다이묘),디저트,아이보리쉬,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC%EC%89%AC,4.1,"1,800엔~",10:00-18:00,화요일,카드OK,프렌치토스트 전문점,주말 대기 있음,,
텐진(다이묘),디저트,다이묘 소프트크림,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%8B%A4%EC%9D%B4%EB%AC%98%20%EC%86%8C%ED%94%84%ED%8A%B8%ED%81%AC%EB%A6%BC,4.3,500엔~,11:00~22:00,연중무휴,카드OK,진한 우유 아이스크림,테이크아웃이라 대기 없음,,
텐진(다이묘),디저트,KAKA 치즈케이크,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20KAKA%20%EC%B9%98%EC%A6%88%EC%BC%80%EC%9D%B4%ED%81%AC,4.1,500엔~,10:00-21:00,연중무휴,카드OK,치즈케이크 전문,"품절 빠름, 일찍 방문 권장",,
텐진(다이묘),디저트,링고도우,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%A7%81%EA%B3%A0%EB%8F%84%EC%9A%B0,4.2,600엔~,11:00~21:00,연중무휴,현금/카드,통사과 탕후루,대기 없음,,
텐진(다이묘),규카츠,모토무라 규카츠 텐진,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%AA%A8%ED%86%A0%EB%AC%B4%EB%9D%BC%20%EA%B7%9C%EC%B9%B4%EC%B8%A0%20%ED%85%90%EC%A7%84,4.8,"2,000엔~",11:00~22:00,연중무휴,카드OK,다이묘점보다 대기 적을 수 있음,30분~1시간 (다이묘점보다 나음),33.5866,130.3993
텐진(다이묘),규카츠,교토 가츠규 텐진점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EA%B5%90%ED%86%A0%20%EA%B0%80%EC%B8%A0%EA%B7%9C%20%ED%85%90%EC%A7%84%EC%A0%90,4.6,"1,800엔",11:00-21:30,연중무휴,카드OK,수란 소스 추천,대기 거의 없음,,
텐진(다이묘),함바그,규마루,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EA%B7%9C%EB%A7%88%EB%A3%A8,4.2,"1,500엔~",11:00~21:30,연중무휴,카드OK,스프가 맛있는 함바그,15-20분 정도 대기,,
텐진(다이묘),일식,치카에 (Chikae),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EC%B9%98%EC%B9%B4%EC%97%90%20%28Chikae%29,4.2,"3,500엔~",11:30~14:00(주말만),부정기,카드OK,"평일 점심 영업 X, 주말만 런치 가능",주말 런치 오픈런 필수,,
텐진(다이묘),함바그,규마루 (키와미야 함바그 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%B0%98%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EA%B7%9C%EB%A7%88%EB%A3%A8%20%28%ED%82%A4%EC%99%80%EB%AF%B8%EC%95%BC%20%ED%95%A8%EB%B0%94%EA%B7%B8%20%EB%8C%80%EC%95%88%29,4.2,"1,500엔~",11:00~21:30,연중무휴,카드OK,"스프가 맛있는 함바그, 쾌적함",15-30분 (키와미야 대비 훨씬 짧음),33.5898,130.4203
텐진(다이묘),규카츠,교토 가츠규 텐진정 (모토무라 규카츠 대안),https://www.google.com/maps/search/?api=1&query=이치란+본점+후쿠오카2,4.6,"1,800엔",11:00-21:30,연중무휴,카드OK,"수란 소스 추천, 대기 적음",15-30분 (모토무라 대비 적음),33.5866,130.3993
텐진(본점),라멘,신신라멘 텐진 본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%B3%B8%EC%A0%90%29%20%EC%8B%A0%EC%8B%A0%EB%9D%BC%EB%A9%98%20%ED%85%90%EC%A7%84%20%EB%B3%B8%EC%A0%90,4.2,900엔~,11:00~03:00,수요일,카드OK,"웨이팅 긺, 회전은 빠름",식사 시간 30분~1시간,33.5944,130.3995
텐진(솔라리아),철판구이,텐진 호르몬,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%86%94%EB%9D%BC%EB%A6%AC%EC%95%84%29%20%ED%85%90%EC%A7%84%20%ED%98%B8%EB%A5%B4%EB%AA%AC,4.1,"2,000엔~",11:00~22:00,연중무휴,카드OK,대창 믹스 정식 추천,20-30분 대기,,
텐진(솔라리아),스시,효탄스시(회전초밥),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%86%94%EB%9D%BC%EB%A6%AC%EC%95%84%29%20%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%28%ED%9A%8C%EC%A0%84%EC%B4%88%EB%B0%A5%29,4.1,"2,500엔~",11:00~21:00,연중무휴,카드OK,본점보다 캐주얼함,30분~1시간,,
텐진(아카사카),모츠나베,모츠나베 이마나카,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%95%84%EC%B9%B4%EC%82%AC%EC%B9%B4%29%20%EB%AA%A8%EC%B8%A0%EB%82%98%EB%B2%A0%20%EC%9D%B4%EB%A7%88%EB%82%98%EC%B9%B4,4.4,"5,000엔~",16:00-23:00,화요일,카드OK,"노키즈존, 고급스러운 분위기",예약 필수,,
텐진(오야후코),스시,스시로 텐진점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%98%A4%EC%95%BC%ED%9B%84%EC%BD%94%29%20%EC%8A%A4%EC%8B%9C%EB%A1%9C%20%ED%85%90%EC%A7%84%EC%A0%90,3.9,"1,500 ~",11:00~23:00,연중무휴,카드OK,가성비 회전초밥,앱 예약 시 대기 없음,,
텐진(오야후코),스테이크,얏파리 스테이크,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%98%A4%EC%95%BC%ED%9B%84%EC%BD%94%29%20%EC%96%8F%ED%8C%8C%EB%A6%AC%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC,4.1,"1,000엔~",11:00~22:00,연중무휴,현금(자판기),"가성비 갑, 현금 준비",대기 적음,,
텐진(지하상가),스시,스시 쇼군,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%A7%80%ED%95%98%EC%83%81%EA%B0%80%29%20%EC%8A%A4%EC%8B%9C%20%EC%87%BC%EA%B5%B0,4.0,"1,000엔~",11:00~22:00,연중무휴,카드OK,서서 먹는 스시,회전율 매우 빠름 (대기 없음),,
텐진(파르코),모츠나베,오오야마 파르코,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%ED%8C%8C%EB%A5%B4%EC%BD%94%29%20%EC%98%A4%EC%98%A4%EC%95%BC%EB%A7%88%20%ED%8C%8C%EB%A5%B4%EC%BD%94,4.2,"2,000 -",11:00~23:00,시설휴무일,카드OK,1인 모츠나베 가능,점심 피크 20분 대기,,
텐진(파르코),함바그,키와미야 함바그,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%ED%8C%8C%EB%A5%B4%EC%BD%94%29%20%ED%82%A4%EC%99%80%EB%AF%B8%EC%95%BC%20%ED%95%A8%EB%B0%94%EA%B7%B8,4.4,"2,000 ~",11:00-22:00,시설휴무일,현금/카드,웨이팅 극악,기본 1시간 30분~2시간 (극악),33.5898,130.4203
텐진(파르코),규카츠,모토무라 규카츠,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%ED%8C%8C%EB%A5%B4%EC%BD%94%29%20%EB%AA%A8%ED%86%A0%EB%AC%B4%EB%9D%BC%20%EA%B7%9C%EC%B9%B4%EC%B8%A0,4.9,"2,000 -",11:00~22:00,시설휴무일,카드OK,줄이 가장 긴 곳,기본 1시간~2시간 (가장 긺),33.5866,130.3993
하카타,우동,우동 타이라,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EC%9A%B0%EB%8F%99%20%ED%83%80%EC%9D%B4%EB%9D%BC,4.1,800엔~,11:30~15:00,일/공휴일,현금만,[현금필수] 점심만 영업,오픈 30분 전 도착 권장,,
하카타,야키니쿠,야키니쿠 바쿠로,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EC%95%BC%ED%82%A4%EB%8B%88%EC%BF%A0%20%EB%B0%94%EC%BF%A0%EB%A1%9C,4.3,"5,000-",11:30~14:30/17:00~23:00,연중무휴,카드OK,와규 퀄리티 최상,예약 필수,,
하카타,라멘,하카타 다루마 본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%ED%95%98%EC%B9%B4%ED%83%80%20%EB%8B%A4%EB%A3%A8%EB%A7%88%20%EB%B3%B8%EC%A0%90,4.0,"1,000 ~",11:30~24:00,연중무휴,현금(자판기),"진한 돈코츠, 현금 준비",밤 늦게까지 대기 있음 (20분~),,
하카타,라멘,하카타 잇소우 본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%ED%95%98%EC%B9%B4%ED%83%80%20%EC%9E%87%EC%86%8C%EC%9A%B0%20%EB%B3%B8%EC%A0%90,4.1,900엔~,11:00-24:00,무정기,현금(자판기),[현금필수] 줄 서는 맛집,식사 시간 1시간 대기 (거품 라멘),,
하카타,모츠나베,마에다야 총본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EB%A7%88%EC%97%90%EB%8B%A4%EC%95%BC%20%EC%B4%9D%EB%B3%B8%EC%A0%90,4.3,"4,000엔~",11:00~14:00/17:00~24:00,연중무휴,카드OK,"고등어회 필수, 예약 권장",예약 안 하면 1시간 대기,,
하카타,야키니쿠,니쿠노이치 하카타,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EB%8B%88%EC%BF%A0%EB%85%B8%EC%9D%B4%EC%B9%98%20%ED%95%98%EC%B9%B4%ED%83%80,4.4,"4,000엔~",16:00-24:00,연중무휴,카드OK,"예약 필수, 가성비 굿",예약 없으면 입장 불가 수준,,
하카타,오징어회,카와타로 하카타,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EC%B9%B4%EC%99%80%ED%83%80%EB%A1%9C%20%ED%95%98%EC%B9%B4%ED%83%80,4.1,"3,000엔~",11:00~14:00/17:00~22:00,연말연시,카드OK,활오징어 회 정식,점심 예약 필수 (오징어 품절 주의),,
하카타,오징어회,우오쿠라 (Uokura),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%EC%9A%B0%EC%98%A4%EC%BF%A0%EB%9D%BC%20%28Uokura%29,4.1,"3,000엔~",11:00~23:00,연중무휴,카드OK,"룸 있음, 조용함",예약 권장,,
하카타,꼬치구이,하카타 토리카와 다이진,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%95%98%EC%B9%B4%ED%83%80%20%ED%95%98%EC%B9%B,"1,500엔~",11:30-23:30,연중무휴,카드OK,"닭껍질 꼬치 (150엔), 가성비 갑",저녁 피크타임 대기 (20-30분),,
하카타,라멘,이치란 하카타역점,https://www.google.com/search?q=https://www.google.com/maps/search/%3Fapi%3D1%26query%3D%25ED%259B%2584%25EC%25BF%25A0%25EC%2598%25A4%25EC%25B9%25B4%2520%25EA%25B8%25B0%25EC%2598%25A8%2520%25ED%2592%2580%25ED%2592%2580%2520%2528Full%2520Full%2529,"1,000 ~",10:00-22:00,연중무휴,카드OK,본점보다 덜 붐빔,10-20분 (본점보다 나음),33.5932,130.4042
하카타,스시,우오베이 스시,maps.google.com/?q=33.3,130.42,"1,500엔~",11:00-22:00,연중무휴,카드OK,"기차 배달 스시, 아이들 좋아함",식사 시간 30분 대기,,
하카타(역),라멘,신신라멘 하카타 데이토스점,maps.google.com/?q=33.3,130.43,"1,000 ~",11:00-23:00,연중무휴,카드OK,"본점 줄 길 때 추천, 2층",본점보다 대기 적음 (20-30분),33.5944,130.3995
하카타(역),소바,이시우스비키 이시즈키,maps.google.com/?q=33.3,130.44,"1,500엔~",11:00~22:00,연중무휴,카드OK,하카타시티 10층,점심 시간 대기 있음,,
하카타(역),우동,마키노 우동,maps.google.com/?q=33.3,130.45,"600 ~",10:00~23:00,연중무휴,현금만,불어나는 우동면 (호불호 갈림),점심 피크 15분 대기,,
하카타(역),크루아상,일 포르노 델 미뇽,maps.google.com/?q=33.3,130.46,"100 ~",07:00~23:00,연중무휴,현금만,하카타역 냄새의 주범 (필수 간식),줄 길어도 금방 줄어듦 (5-10분),,
하카타(역),함바그,키와미야 함바그 하카타점,maps.google.com/?q=33.3,130.47,"2,000 ~",11:00-23:00,연중무휴,현금/카드,파르코점보다 대기 적을 때 있음,1시간~1시간 30분,,
하카타(역),규탄,탄야 하카타,maps.google.com/?q=33.3,130.48,"1,000엔~",07:00-22:00,연중무휴,카드OK,"우설 조식 정식 (가성비), 아침 추천",아침 7-8시 대기 있음 (20분~),,
하카타(역),모츠나베,모츠나베 쇼라쿠,maps.google.com/?q=33.3,130.49,"2,500 ~",11:00~23:00,연중무휴,카드OK,하카타시티 10층,식사 시간 30분 대기,,
하카타(역),모츠나베,오오야마 하카타역점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%82%98%EC%B9%B4%EC%8A%A4%20%EC%9D%B4%EC%B9%98%EB%9E%80%20%EB%B3%B8%EC%A0%900,"2,000 ~",11:00~23:00,연중무휴,카드OK,1인석 완비,점심/저녁 30분 대기,,